Resort_Name,google_search_name,Resort_INS_hashtag,twitter_id
little-ski-hill,little-ski-hill skiresort,littleskihill,0
little-switzerland-ski-resort,little-switzerland-ski-resort skiresort,littleswitzerlandskiresort,0
living-memorial-park-brattleboro,living-memorial-park-brattleboro skiresort,livingmemorialpark,0
lonesome-pine-trails-fort-kent,lonesome-pine-trails-fort-kent skiresort,lonesomepinetrails,0
lutsen-mountains,lutsen-mountains skiresort,lutsenmountains,0
lyndon-outing-club,lyndon-outing-club skiresort,lyndonoutingclub,0
magic-mountain-resort,magic-mountain-resort skiresort,magicmountainresort,0
massanutten,massanutten skiresort,massanutten,0
maverick-mountain,maverick-mountain skiresort,mammothmountainskipatrol,0
mccauly-mountain,mccauly-mountain skiresort,mccaulymountain,0
meadowlark-ski-lodge,meadowlark-ski-lodge skiresort,meadowlarkskilodge,0
meany-lodge,meany-lodge skiresort,meanylodge,0
missaukee-mountain,missaukee-mountain skiresort,missaukeemountain,0
mont-ripley,mont-ripley skiresort,montripley,0
mount-snow,mount-snow skiresort,mountsnow,0
mountain-high-east,mountain-high-east skiresort,mountainhigheast,0
mountain-high-north,mountain-high-north skiresort,mountainhighnorth,0
mountain-high-west,mountain-high-west skiresort,mountainhighwest,0
mt-bailey,mt-bailey skiresort,mtbailey,0
mt-baker,mt-baker skiresort,mtbakerskiarea,0
mt-bohemia,mt-bohemia skiresort,mtbohemia,0
mt-eustis-littleton,mt-eustis-littleton skiresort,mteustis,0
mt-eyak,mt-eyak skiresort,mteyak,0
mt-holiday,mt-holiday skiresort,mtholiday,0
mt-jefferson,mt-jefferson skiresort,mtjeffersonskiarea,0
mt-kato,mt-kato skiresort,mtkato,0
mt-la-crosse,mt-la-crosse skiresort,mtlacrosse,0
mt-peter,mt-peter skiresort,mtpeter,0
mt-pisgah,mt-pisgah skiresort,mtpisgahsummit,0
mt-sunapee,mt-sunapee skiresort,mtsunapee,0
mt-zion-hill,mt-zion-hill skiresort,mtzionhill,0
mystic-mountain-farmington,mystic-mountain-farmington skiresort,mysticmountainfarmington,0
navarino-hills,navarino-hills skiresort,navarinohills,0
northeast-slopes-east-corinth,northeast-slopes-east-corinth skiresort,northeastslopes,0
