Resort_Name,google_search_name,Resort_INS_hashtag,twitter_account_name,twitter_screen_name,Continent,Country,State,URL,Altitude,Easy_km,Intermediate_km,Difficult_km,Adult_ticket,Youth_ticket,Child_ticket,Lifts_cables
crotched-mountain,crotched-mountain skiresort,crotchedmountain,Crotched Mountain,CROTCHED_MTN,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/crotched-mountain/,630,2.5,4,1.5,64,0,54,3.4
crystal-mountain-mi,crystal-mountain-mi skiresort,crystalmountainmi,Crystal Mountain,CrystalMountain,North America,USA,Michigan,http://www.skiresort.info/ski-resort/crystal-mountain-mi/,359,1.2,2.3,1.4,72,0,62,3.3
crystal-mountain-wa,crystal-mountain-wa skiresort,crystalmountainwa,Crystal Mountain,CrystalMt,North America,USA,Washington State,http://www.skiresort.info/ski-resort/crystal-mountain-wa/,2137,8,27,15,80,0,56,3.8
deer-valley,deer-valley skiresort,skideervalley,Deer Valley Resort,Deer_Valley,North America,USA,Utah,http://www.skiresort.info/ski-resort/deer-valley/,2917,27,41,32,135,135,84,4
detroit-mountain,detroit-mountain skiresort,detroitmountain,Detroit Mountain,DetroitMountain,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/detroit-mountain/,490,1,1,0,40,0,32,3
devils-head,devils-head skiresort,devilsheadskiresort,Devil's Head,DevilsHead,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/devils-head/,303,3,3.5,3.5,55,0,48,null
diamond-peak,diamond-peak skiresort,diamondpeak,Diamond Peak,diamondpeak,North America,USA,Western United States,http://www.skiresort.info/ski-resort/diamond-peak/,2602,6,14,10,79,64,39,3.4
diamond-peaks,diamond-peaks skiresort,diamondpeaks,Diamond Peak,DiamondPeakMt,North America,USA,Utah,http://www.skiresort.info/ski-resort/diamond-peaks/,0,0,0,0,0,0,0,null
discovery-ski-area,discovery-ski-area skiresort,discoveryskiarea,Discovery Ski Area,DiscoverySki,North America,USA,Montana,http://www.skiresort.info/ski-resort/discovery-ski-area/,2484,12,12,21,46,0,24,3
dodge-ridge,dodge-ridge skiresort,dodgeridge,Dodge Ridge,DodgeRidge,North America,USA,California,http://www.skiresort.info/ski-resort/dodge-ridge/,2499,10,20,20,72,59,24,null
dry-hill,dry-hill skiresort,dryhillskiarea,Dry Hill Ski Area,DryHillSkiArea,North America,USA,New York,http://www.skiresort.info/ski-resort/dry-hill/,293,0.7,1.2,0.5,40,0,35,null
eagle-rock,eagle-rock skiresort,eaglerockskiresort,Eagle Rock Resort,EagleRockResort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/eagle-rock/,550,0,0,0,42,0,28,null
echo-mountain-park-idaho-springs,echo-mountain-park-idaho-springs skiresort,echomountainpark,Echo Mountain Snow,echosnow,North America,USA,Colorado,http://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,3401,2,1,0,49,0,39,2.9
elk-mountain,elk-mountain skiresort,elkmountainskiresort,ElkMountainPA,ElkMountainSki,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/elk-mountain/,820,3,8,4,66,0,50,null
elko-snobowl,elko-snobowl skiresort,elkosnobowl,Elko Snobowl,ElkoSnowbowl,North America,USA,Nevada,http://www.skiresort.info/ski-resort/elko-snobowl/,2130,1.5,1.5,0,20,0,15,2.9
