resort_ggid,resort_name,resort_ggsearch_name,resort_geo_lat,resort_geo_lng,resort_loc_street,resort_loc_city,resort_loc_state,resort_loc_zipcode,resort_rating,resort_user_ratings,resort_opening_hours,resort_loc
6c166a39406b14e3febb9103a777108296fa0355,Bottineau Winter Park Ski-Area,bottineau-winter-park skiresort,48.9512327,-100.4775281,1, Bottineau,ND,58318,4.7,106.0,{'open_now': False},"1, Winter Park Rd, Bottineau, ND 58318, USA"
11cfee57f4f3cd4456648b69ab0b00bf01a976fc,Bousquet Ski Area,bousquet skiresort,42.4192223,-73.27707819999999,101 Dan Fox Dr, Pittsfield,MA,01201,4.2,216.0,{'open_now': False},"101 Dan Fox Dr, Pittsfield, MA 01201, USA"
efef377510a1e3901fcadd61ced1a08fd95d19e0,Boyce Park Four Seasons Lodge,boyce-park skiresort,40.46152379999999,-79.7468576,901 Centerview Dr, Plum,PA,15239,4.4,146.0,{},"901 Centerview Dr, Plum, PA 15239, USA"
513b8f60d2d76e6a1db8231796be5a74786fb55d,Boyne Highlands Resort,boyne-highlands skiresort,45.4708444,-84.9354489,600 Highland Rd, Harbor Springs,MI,49740,4.5,367.0,,"600 Highland Rd, Harbor Springs, MI 49740, USA"
89d9b19f53333dbd67040529dd60e99b05de1147,Boyne Mountain Resort,boyne-mountain skiresort,45.162884,-84.930067,1 Boyne Mountain Rd, Boyne Falls,MI,49713,4.5,2758.0,,"1 Boyne Mountain Rd, Boyne Falls, MI 49713, USA"
56d543079251d101d12397c7cb0cb3cd78eadd3b,Boston Mills and Brandywine Ski Areas,brandywine skiresort,41.2640987,-81.5632108,Boston Mills:, Peninsula,OH,44264,4.4,510.0,,"Boston Mills:, 7100 Riverview Rd, Peninsula, OH 44264, United States"
b3c5405b56aced069ce7cb756c6bcfb324cc8df7,Brantling Ski Slopes Inc,brantling-ski-slopes skiresort,43.15005559999999,-77.0657092,4015 Fish Farm Rd, Sodus,NY,14551,4.6,35.0,,"4015 Fish Farm Rd, Sodus, NY 14551, USA"
f8dc476e8410649e12acd85c383a9921d91460ac,Breckenridge Ski Resort,breckenridge skiresort,39.4802271,-106.0666975,1599 Ski Hill Rd, Breckenridge,CO,80424,4.6,7541.0,,"1599 Ski Hill Rd, Breckenridge, CO 80424, USA"
e1d32feaffd90bc5d4692c77daaf758006545116,Bretton Woods,bretton-woods skiresort,44.259262,-71.46023799999999,99 Ski Area Rd, Bretton Woods,NH,03575,4.7,838.0,{'open_now': True},"99 Ski Area Rd, Bretton Woods, NH 03575, USA"
cd7e1d0b169bc47c98f37484becce2134c61881c,Brian Head Resort,brian-head skiresort,37.7021487,-112.8498974,329 UT-143, Brian Head,UT,84719,4.6,636.0,{'open_now': False},"329 UT-143, Brian Head, UT 84719, USA"
8878b3009cac4cb92ae7de16a4e6126fc38fd404,Bridger Bowl Ski Area,bridger-bowl-bozeman skiresort,45.8173562,-110.8966184,15795 Bridger Canyon Rd, Bozeman,MT,59715,4.8,704.0,{'open_now': False},"15795 Bridger Canyon Rd, Bozeman, MT 59715, USA"
