Resort Name,,Continent,Country,State/Province,URL,Altitude,Easy(km),Intermediate(km) ,Difficult(km),Adult(ticket),Youth(ticket),Child(ticket),Lifts and cable cars 
deer-valley,Deer Valley Resort,North America,USA,Utah,http://www.skiresort.info/ski-resort/deer-valley/,2917,27,41,32,135,135,84,4
denton-hill-state-park,Denton Hill State Park,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/denton-hill-state-park/,750,4,2,2,0,0,0,
detroit-mountain,Detroit Mountain Recreation Area,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/detroit-mountain/,490,1,1,0,40,0,32,3
devils-head,Devil's Head Resort,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/devils-head/,303,3,3.5,3.5,55,0,48,
diamond-peaks,Diamond Peak Ski Resort,North America,USA,Utah,http://www.skiresort.info/ski-resort/diamond-peaks/,0,,,,0,0,0,
discovery-ski-area,Discovery Ski Area,North America,USA,Montana,http://www.skiresort.info/ski-resort/discovery-ski-area/,2484,12,12,21,46,0,24,3
dodge-ridge,Dodge Ridge Ski Resort,North America,USA,California,http://www.skiresort.info/ski-resort/dodge-ridge/,2499,10,20,20,72,59,24,
dollar-mountain-sun-valley,Carol's Dollar Mountain Day Lodge,North America,USA,Idaho,http://www.skiresort.info/ski-resort/dollar-mountain-sun-valley/,2023,7,2,0,120,0,58,3.7
Donner Ski Ranch,Donner Ski Ranch,North America,USA,Western United States,http://www.skiresort.info/ski-resort/donner-ski-ranch/,2371,13,26,13,69,59,29,3
dry-hill,Dry Hill Ski Area,North America,USA,New York,http://www.skiresort.info/ski-resort/dry-hill/,293,0.7,1.2,0.5,40,0,35,
dynamite-hill-chestertown,Dynamite Hill Recreation Area,North America,USA,New York,http://www.skiresort.info/ski-resort/dynamite-hill-chestertown/,281,0.2,0,0,0,0,0,1
eagle-island-park,Eagle Island State Park,North America,USA,Idaho,http://www.skiresort.info/ski-resort/eagle-island-park/,781,0.1,0,0,20,0,20,1
eagle-point,Eagle Point Resort,North America,USA,Utah,http://www.skiresort.info/ski-resort/eagle-point/,3230,6,9,5,65,0,50,3
eagle-rock,Eagle Rock Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/eagle-rock/,550,,,,42,0,28,
eaglecrest-juneau,Eaglecrest Ski Area,North America,USA,Alaska,http://www.skiresort.info/ski-resort/eaglecrest-juneau/,820,3.4,6.8,6.8,52,42,28,3
eaton-mountain,Eaton Mountain Ski Area,North America,USA,Maine,http://www.skiresort.info/ski-resort/eaton-mountain/,140,1.5,0.5,0,15,0,0,
echo-mountain-park-idaho-springs,Echo Mountain,North America,USA,Colorado,http://www.skiresort.info/ski-resort/echo-mountain-park-idaho-springs/,3401,2,1,0,49,0,39,2.9
echo-valley-lake-chelan,Echo Valley Ski Area,North America,USA,Washington State,http://www.skiresort.info/ski-resort/echo-valley-lake-chelan/,950,1,0.4,0.1,25,0,0,
eldora-mountain,Eldora Mountain Resort,North America,USA,Colorado,http://www.skiresort.info/ski-resort/eldora-mountain/,3292,11,26,15,94,0,54,3.2
elk-mountain,Elk Mountain Ski Resort,North America,USA,Pennsylvania,http://www.skiresort.info/ski-resort/elk-mountain/,820,3,8,4,66,0,50,
elk-ridge-williams,Elk Ridge Ski Area,North America,USA,Arizona,http://www.skiresort.info/ski-resort/elk-ridge-williams/,2452,0.6,1.5,0.9,40,0,25,
fairmont-hot-springs-fairmont,Fairmont Hot Springs Resort Ski Area,North America,USA,Montana,http://www.skiresort.info/ski-resort/fairmont-hot-springs-fairmont/,0,,,,0,0,0,
ferguson-ridge,Ferguson Ridge Ski Area,North America,USA,Oregon,http://www.skiresort.info/ski-resort/ferguson-ridge/,1780,2,2,1,20,0,10,
fort-wainwrightbirch-hill-fairbanks,Birch Hill Ski & Snowboard Area,North America,USA,Alaska,http://www.skiresort.info/ski-resort/fort-wainwrightbirch-hill-fairbanks/,300,1.5,0.3,0,0,0,0,
four-lakes,Four Lakes Alpine Snowsports,North America,USA,Illinois,http://www.skiresort.info/ski-resort/four-lakes/,220,1,0,0,28,0,0,
frost-fire-mountain,Frost Fire Ski Area,North America,USA,North Dakota,http://www.skiresort.info/ski-resort/frost-fire-mountain/,440,0.7,0.6,0.2,40,0,30,
giants-ridge,Giants Ridge Recreation Area,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/giants-ridge/,560,4,5,3,54,0,38,3.3
