Resort Name,Continent,Country,State/Province,URL,Altitude,Easy(km),Intermediate(km) ,Difficult(km),Adult(ticket),Youth(ticket),Child(ticket),Lifts and cable cars 
campton-mountain,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/campton-mountain/,435,0.6,0.5,0.2,15,0,0,2.8
canaan-valley,North America,USA,West Virginia,http://www.skiresort.info/ski-resort/canaan-valley/,1304,3,4,3,68,0,47,
cannon-mountain,North America,USA,New Hampshire,http://www.skiresort.info/ski-resort/cannon-mountain/,1243,15,25,10,75,62,53,3.2
cannonsburg-ski-area,North America,USA,Michigan,http://www.skiresort.info/ski-resort/cannonsburg-ski-area/,280,0.5,1,0.5,37,0,27,
carson-ski-resort,North America,USA,California,http://www.skiresort.info/ski-resort/carson-ski-resort/,0,,,,0,0,0,
cascade-mountain,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/cascade-mountain/,378,5,5,4,0,0,0,
cascade-powder-guides,North America,USA,Washington State,http://www.skiresort.info/ski-resort/cascade-powder-guides/,1705,,,,465,0,465,
cataldo-peak-adventures,North America,USA,Idaho,http://www.skiresort.info/ski-resort/cataldo-peak-adventures/,0,,,,325,0,0,
cataloochee,North America,USA,North Carolina,http://www.skiresort.info/ski-resort/cataloochee/,1583,1.5,3,1.5,65,0,47,3
catamount,North America,USA,Massachusetts,http://www.skiresort.info/ski-resort/catamount/,580,8,4,3,66,0,56,3
cazenovia,North America,USA,New York,http://www.skiresort.info/ski-resort/cazenovia/,440,0.6,0.7,1,0,0,0,1.4
challenge-mountain-walloon-lake,North America,USA,Michigan,http://www.skiresort.info/ski-resort/challenge-mountain-walloon-lake/,325,0.9,0.3,0,0,0,0,
cherry-peak,North America,USA,Utah,http://www.skiresort.info/ski-resort/cherry-peak/,2635,5,10,5,42,0,32,3
chester-bowl-park,North America,USA,Minnesota,http://www.skiresort.info/ski-resort/chester-bowl-park/,380,0.6,0,0,10,0,0,3
chestnut-mountain,North America,USA,Illinois,http://www.skiresort.info/ski-resort/chestnut-mountain/,335,2,3,1,52,0,40,
china-peak,North America,USA,California,http://www.skiresort.info/ski-resort/china-peak/,2654,20,17,13,79,54,34,
christie-mountain,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/christie-mountain/,510,2.8,1.5,0.7,37,0,32,
christmas-mountain,North America,USA,Wisconsin,http://www.skiresort.info/ski-resort/christmas-mountain/,370,1.3,0.5,0.2,45,0,31,2.8
clear-fork,North America,USA,Ohio,http://www.skiresort.info/ski-resort/clear-fork/,420,,,,0,0,0,
